Eckersley,Rulebased,Randomforest,LSTM-3,bidiLSTM-3,LSTM-4,bidiLSTM-4,LSTM-5,bidiLSTM-5,LSTM-6,bidiLSTM-6,LSTM-7,bidiLSTM-7,LSTM-8,bidiLSTM-8
32.28909953,61.41232227,71.38388626,31.32227488,31.42180095,31.32227488,32.63033175,31.32227488,32.72985782,31.32227488,31.32227488,31.63186813,31.58791209,31.62576687,31.62576687
31.59241706,61.27014218,70.44549763,30.42654028,30.73933649,30.42654028,32.53080569,30.42654028,32.37914692,30.42654028,30.42654028,30.75824176,30.84615385,30.6993865,30.6993865
31.89099526,61.6492891,70.16587678,29.38862559,29.72985782,29.38862559,31.69194313,29.38862559,31.62085308,29.38862559,29.38862559,29.68681319,29.67032967,29.65030675,29.65030675
31.82938389,60.72037915,69.36492891,28.64454976,29.08056872,28.64454976,30.50236967,28.64454976,31.33649289,28.64454976,28.64454976,29.05494505,29.23076923,28.83435583,28.78527607
30.85308057,60.23696682,67.55924171,27.51184834,28.05687204,27.60663507,29.81042654,27.51184834,30.33175355,27.51184834,27.51184834,27.96703297,28.13186813,27.85276074,27.85276074
29.00473934,59.23222749,66.71090047,26.64454976,27.04265403,26.72985782,28.74881517,26.64454976,29.45971564,26.64454976,26.64454976,27,27.23076923,26.79754601,26.79754601
28.96208531,57.22748815,64.59241706,25.74407583,26.17535545,25.74407583,27.63507109,25.74407583,28,25.74407583,25.74407583,26.19230769,26.34615385,25.85276074,25.85276074
28.47393365,57.4028436,63.62085308,24.83412322,24.98578199,24.83412322,26.27488152,24.83412322,26.8056872,24.83412322,24.83412322,25.18681319,25.36263736,24.78527607,24.78527607
26.95734597,56.77251185,62.53080569,24.14218009,24.27014218,24.22748815,25.67772512,24.14218009,25.72037915,24.14218009,24.14218009,24.52747253,24.97252747,24.40490798,24.40490798
26.72985782,55.49763033,62.51184834,23.45971564,23.79146919,23.55450237,25.92417062,23.45971564,25.59241706,23.45971564,23.45971564,23.9010989,24.3956044,23.74233129,23.74233129
26.69194313,54.42654028,60.63033175,21.68720379,21.9478673,21.68720379,23.51184834,21.68720379,24.24170616,21.68720379,21.68720379,22.3021978,22.6043956,22.40490798,22.40490798
26.04739336,52.72037915,61.30805687,21.21327014,21.38388626,21.21327014,22.23696682,21.21327014,23.37440758,21.21327014,21.21327014,21.69230769,21.95604396,21.27607362,21.27607362
25.69194313,53.04739336,59.39336493,20.76303318,21.07109005,20.76303318,22.91943128,20.76303318,23.8436019,20.76303318,20.76303318,20.71428571,21,20.57668712,20.57668712
24.61611374,52.48341232,59.71563981,19.77251185,19.90521327,19.77251185,21.23222749,19.77251185,22.36018957,19.77251185,19.77251185,19.92307692,20.23076923,19.92638037,19.92638037
23.74407583,53.03317536,58.08056872,18.83886256,18.98104265,18.83886256,20.4028436,18.83886256,21.54028436,18.83886256,18.83886256,19.03846154,19.28571429,19.04907975,19.04907975
23.43127962,51.26066351,56.9478673,18.3507109,18.42654028,18.3507109,19.79146919,18.3507109,20.85308057,18.3507109,18.3507109,18.54945055,18.63736264,17.96319018,17.96319018
23.20379147,50.27488152,56.39810427,17.56398104,17.64454976,17.56398104,18.12796209,17.56398104,18.69194313,17.56398104,17.56398104,17.84065934,17.93406593,17.41717791,17.41717791
21.24170616,48.4549763,55.70616114,16.72037915,16.8056872,16.72037915,17.23222749,16.72037915,18.5971564,16.72037915,16.72037915,17.01098901,17.20879121,16.78527607,16.78527607
21.61137441,50.78672986,55.37914692,15.66824645,15.75829384,15.66824645,16.20853081,15.66824645,17.19905213,15.66824645,15.66824645,16.07692308,16.28571429,15.96932515,15.96932515
21.13744076,48.90995261,53.36492891,15.5450237,15.63981043,15.5450237,16.11374408,15.5450237,17.1563981,15.5450237,15.5450237,16.15384615,16.26373626,15.82822086,15.82822086
